,studentID,collegeID,earlyAppl,visited,alumni,outofstate,acceptStatus,acceptProb
0,754RIEA5T3,MIT,1.0,,-1.0,1.0,1.0,
1,754RIEA5T3,Yale,-1.0,,-1.0,1.0,-1.0,
2,754RIEA5T3,Harvard,-1.0,,-1.0,1.0,-1.0,
3,754RIEA5T3,CalTech,-1.0,,-1.0,1.0,-1.0,
0,80TAH0QY0R,UPenn,-1.0,,-1.0,1.0,-1.0,
1,80TAH0QY0R,Brown,-1.0,,-1.0,1.0,-1.0,
2,80TAH0QY0R,Cornell,-1.0,,-1.0,1.0,-1.0,
3,80TAH0QY0R,USC,-1.0,,-1.0,1.0,-1.0,
0,O1TAYS0EZX,UPenn,-1.0,,-1.0,1.0,-1.0,
1,O1TAYS0EZX,Brown,-1.0,,-1.0,1.0,-1.0,
2,O1TAYS0EZX,Yale,1.0,,-1.0,1.0,-1.0,
3,O1TAYS0EZX,Columbia,-1.0,,-1.0,1.0,-1.0,
4,O1TAYS0EZX,Harvard,-1.0,,-1.0,1.0,-1.0,
5,O1TAYS0EZX,Cornell,-1.0,,-1.0,1.0,1.0,
6,O1TAYS0EZX,Duke,-1.0,,-1.0,1.0,1.0,
0,TWUKL79B6V,UChicago,-1.0,,-1.0,1.0,-1.0,
1,TWUKL79B6V,Dartmouth,-1.0,,-1.0,1.0,-1.0,
2,TWUKL79B6V,Rice,-1.0,,-1.0,1.0,0.0,
0,XU8YJ41X11,UCB,-1.0,,-1.0,-1.0,-1.0,
1,XU8YJ41X11,UCLA,-1.0,,-1.0,-1.0,1.0,
0,EMYUD93ZDR,Emory,-1.0,,-1.0,1.0,1.0,
1,EMYUD93ZDR,Georgetown,-1.0,,-1.0,1.0,-1.0,
0,EP37SLJXA2,UPenn,-1.0,,-1.0,1.0,-1.0,
1,EP37SLJXA2,CarnegieMellon,-1.0,,-1.0,1.0,0.0,
2,EP37SLJXA2,UChicago,-1.0,,-1.0,1.0,-1.0,
3,EP37SLJXA2,Columbia,-1.0,,-1.0,1.0,-1.0,
4,EP37SLJXA2,Duke,-1.0,,-1.0,1.0,-1.0,
5,EP37SLJXA2,UCB,-1.0,,-1.0,1.0,-1.0,
6,EP37SLJXA2,UCLA,-1.0,,-1.0,1.0,-1.0,
7,EP37SLJXA2,USC,-1.0,,-1.0,1.0,1.0,
0,KEWPOPNHHR,UPenn,-1.0,,-1.0,1.0,-1.0,
1,KEWPOPNHHR,Yale,1.0,,-1.0,1.0,-1.0,
2,KEWPOPNHHR,Cornell,-1.0,,-1.0,1.0,1.0,
0,1OJUGUL4LL,UPenn,-1.0,,-1.0,1.0,-1.0,
1,1OJUGUL4LL,Rice,-1.0,,-1.0,1.0,-1.0,
2,1OJUGUL4LL,Stanford,-1.0,,-1.0,1.0,-1.0,
3,1OJUGUL4LL,Cornell,-1.0,,-1.0,1.0,-1.0,
0,QIS1HQR8ZX,MIT,1.0,,-1.0,1.0,-1.0,
1,QIS1HQR8ZX,Duke,-1.0,,-1.0,1.0,-1.0,
2,QIS1HQR8ZX,UCB,-1.0,,1.0,1.0,1.0,
0,NX2TARIB0P,UPenn,-1.0,,-1.0,1.0,-1.0,
1,NX2TARIB0P,Princeton,-1.0,,-1.0,1.0,-1.0,
2,NX2TARIB0P,Brown,-1.0,,-1.0,1.0,-1.0,
3,NX2TARIB0P,Columbia,-1.0,,-1.0,1.0,-1.0,
4,NX2TARIB0P,Rice,-1.0,,-1.0,1.0,-1.0,
5,NX2TARIB0P,Cornell,-1.0,,-1.0,1.0,-1.0,
6,NX2TARIB0P,UCB,-1.0,,-1.0,-1.0,1.0,
7,NX2TARIB0P,UCLA,-1.0,,-1.0,-1.0,-1.0,
8,NX2TARIB0P,USC,-1.0,,-1.0,-1.0,-1.0,
0,HTBGFP17BK,UChicago,1.0,,-1.0,1.0,1.0,
1,HTBGFP17BK,JohnsHopkins,1.0,,-1.0,1.0,1.0,
0,NSV3LRCXUK,MIT,-1.0,,-1.0,1.0,-1.0,
1,NSV3LRCXUK,Columbia,-1.0,,-1.0,-1.0,-1.0,
2,NSV3LRCXUK,Cornell,-1.0,,-1.0,-1.0,-1.0,
0,AYNPNGX3MJ,Princeton,-1.0,,-1.0,1.0,-1.0,
1,AYNPNGX3MJ,Dartmouth,1.0,,-1.0,1.0,-1.0,
2,AYNPNGX3MJ,Georgetown,-1.0,,-1.0,1.0,1.0,
0,LB9CC5V18W,Dartmouth,1.0,,-1.0,1.0,-1.0,
1,LB9CC5V18W,Harvard,-1.0,,-1.0,1.0,-1.0,
0,CR641HYRUN,Northwestern,1.0,,1.0,1.0,1.0,
0,RF15ELWAOD,Brown,-1.0,,-1.0,1.0,-1.0,
1,RF15ELWAOD,Columbia,-1.0,,-1.0,-1.0,-1.0,
2,RF15ELWAOD,Stanford,-1.0,,-1.0,1.0,-1.0,
3,RF15ELWAOD,Cornell,-1.0,,-1.0,-1.0,-1.0,
4,RF15ELWAOD,Northwestern,-1.0,,-1.0,1.0,1.0,
0,UE34DL079N,UChicago,1.0,,-1.0,1.0,-1.0,
1,UE34DL079N,Columbia,-1.0,,-1.0,1.0,-1.0,
2,UE34DL079N,Cornell,-1.0,,-1.0,1.0,-1.0,
0,N4Y1IOID8K,Rice,-1.0,,-1.0,-1.0,-1.0,
1,N4Y1IOID8K,WashU,-1.0,,-1.0,1.0,-1.0,
0,4YS6JGA9G2,USC,-1.0,,-1.0,1.0,1.0,
0,GTL6J0YM1Y,UChicago,-1.0,,-1.0,1.0,1.0,
0,P2PC80PPN2,UCLA,-1.0,,-1.0,-1.0,-1.0,
0,YSSVFH52T5,Northwestern,-1.0,,-1.0,1.0,-1.0,
0,XL2KLDYQ3E,UChicago,1.0,,-1.0,1.0,-1.0,
0,8DU2QH74PZ,Cornell,-1.0,,-1.0,-1.0,1.0,
0,M9BDZ40RLF,MIT,-1.0,,1.0,-1.0,-1.0,
1,M9BDZ40RLF,Dartmouth,-1.0,,-1.0,1.0,0.0,
0,J5H02SHBH7,Brown,-1.0,,-1.0,1.0,-1.0,
1,J5H02SHBH7,Cornell,-1.0,,-1.0,1.0,-1.0,
2,J5H02SHBH7,Northwestern,1.0,,-1.0,1.0,-1.0,
0,X5CEXEMWSG,Yale,1.0,,-1.0,1.0,1.0,
1,X5CEXEMWSG,Harvard,-1.0,,-1.0,1.0,0.0,
2,X5CEXEMWSG,Cornell,-1.0,,-1.0,1.0,1.0,
3,X5CEXEMWSG,Duke,-1.0,,-1.0,1.0,1.0,
4,X5CEXEMWSG,Northwestern,-1.0,,-1.0,1.0,1.0,
0,DDZAHLXTP0,UCB,-1.0,,-1.0,-1.0,-1.0,
1,DDZAHLXTP0,UCLA,-1.0,,-1.0,-1.0,-1.0,
2,DDZAHLXTP0,Northwestern,-1.0,,-1.0,1.0,-1.0,
